4
9
BCS	BC	CHI	COAH	DUR	SIN	SON	ZAC	JAL
0	1360	0	0	0	0	0	0	0
1361	0	0	0	0	0	705	0	0
0	0	0	723	0	0	897	0	0
0	0	720	0	509	0	0	0	0
0	0	0	511	0	456	0	291	0
0	0	0	0	292	0	731	0	0
0	709	901	0	0	701	0	0	0
0	0	0	0	291	0	0	0	339
0	0	0	0	0	0	0	337	0
9
JAL	NAY	COL	AGS	SLP	TMLP NL	GUA	MICH
0	211	199	219	0	0	0	273	0
207	0	0	0	0	0	0	0	0
201	0	0	723	0	0	0	0	0
220	0	720	0	0	0	0	179	0
0	0	0	0	0	333	511	189	0
0	0	0	0	334	0	282	292	0
0	0	0	0	514	285	0	0	0
273	0	0	178	190	0	0	0	177
0	0	0	0	0	0	0	177	0
9
MICH GUERR	MOR	EDOMEX HID	QUER TLAX CDMX PUE
0	508	0	0	0	190	0	0	0
509	0	215	0	0	0	0	0	0
0	194	0	0	0	0	0	83	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	226	125	0	0
191	0	0	0	229	0	0	0	0
0	0	0	0	125	0	0	119	0
0	0	79	0	0	0	119	0	131
0	0	0	0	0	0	0	131	0
9
PUE	OAX	CHIAP TAB CAMP YUC VER QROO NULL
0	339	0	0	0	0	180	0	0
339	0	562	0	0	0	0	0	0
0	567	0	249	0	0	653	0	0
0	0	247	0	384	0	0	0	0
0	0	0	385	0	171	0	0	0
0	0	0	0	573	0	0	388	0
179	0	648	0	0	0	0	0	0
0	0	0	0	422	389	0	0	0
0	0	0	0	0	0	0	0	0
