4
9
BCS	BC	CHI	COAH	DUR	SIN	SON	ZAC	JAL
0	1084	0	0	0	0	0	0	0
1074	0	0	0	0	0	0	0	0
0	0	0	430	0	0	617	0	0
0	0	445	0	308	0	0	0	0
0	0	0	292	0	302	0	190	0
0	0	0	0	297	0	575	0	0
0	458	618	0	0	575	0	0	0
0	0	0	0	193	0	0	0	241
0	0	0	0	0	0	0	240	0
9
JAL	NAY	COL	AGS	SLP	TMLP NL	GUA	MICH
0	161	157	166	0	0	0	201	0
165	0	0	0	0	0	0	0	0
152	0	0	430	0	0	0	0	0
146	0	445	0	0	0	0	130	0
0	0	0	0	0	224	324	148	0
0	0	0	0	219	0	206	297	0
0	0	0	0	326	206	0	0	0
179	0	0	139	144	0	0	0	145
0	0	0	0	0	0	0	136	0
9
MICH GUERR MOR EDOMEX HID QUER TLAX	CDMX PUE
0	381	0	0	0	123	0	0	0
368	0	137	0	0	0	0	0	0
0	126	0	0	0	0	0	65	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	155	94	0	0
125	0	0	0	148	0	0	0	0
0	0	0	0	93	0	0	109	0
0	0	70	0	0	0	99	0	141
0	0	0	0	0	0	0	130	0
8
PUE	OAX	CHIAP TAB CAMP YUC VER QROO	NULL
0	245	0	0	0	0	138	0	0
230	0	454	0	0	0	0	0	0
0	450	0	214	0	0	430	0	0
0	0	222	0	306	0	0	0	0
0	0	0	313	0	125	0	0	0
0	0	0	0	127	0	0	282	0
145	0	445	0	0	0	0	0	0
0	0	0	0	312	293	0	0	0
0	0	0	0	0	0	0	0	0
